Band,Album,albumlink,n,mean,w.mean,diff,l95,CI,w.meanRank,meanRank,users5
Nathan Fake,Providence,/album/246918/Nathan-Fake-Providence/,15,3.433333333,3.348635836,-0.085,2.321161031,2.32 - 4.18,987,833,"jtswope (17.2%), JamieTwort (16.5%), Sinternet (11.5%), danielito19 (11.3%), Relinquished (8.6%)"
Serpent Column,Ornuthi Thalassa,/album/257723/Serpent-Column-Ornuthi-Thalassa/,14,3.571428571,3.38104711,-0.19,2.319211525,2.32 - 4.22,988,599,"TheSpirit (20.1%), Hawks (17.5%), Archelirion (12.2%), JohnnyOnTheSpot (10.9%), Sevengill (6.9%)"
Juana Molina,Halo,/album/252528/Juana-Molina-Halo/,11,3.454545455,3.509110476,0.055,2.317705644,2.32 - 4.39,989,812,"DoofusWainwright (61.3%), YankeeDudel (14.4%), Brandon (7.3%), TheCynic (4.4%), MrCoffee (4.3%)"
Electric Moon,Stardust Rituals,/album/250579/Electric-Moon-Stardust-Rituals/,14,3.714285714,3.3782364,-0.336,2.316433674,2.32 - 4.22,990,315,"jtswope (39.4%), VisionsFromTheDarkSide (25.4%), SheriffOfHongKong (7.2%), Tasty (5.0%), Bulbotook (4.8%)"
Fred Thomas,Changer,/album/242300/Fred-Thomas-Changer/,13,3.307692308,3.413797763,0.106,2.313819536,2.31 - 4.27,991,984,"Papa+Universe (21.7%), Sniff (12.3%), Dewinged (12.1%), mallen- (11.0%), LethalPaintball (8.6%)"
Earthists.,Dreamscape,/album/246459/Earthists.-Dreamscape/,20,3.415,3.209299058,-0.206,2.313798087,2.31 - 3.98,992,864,"Willie (36.5%), Calc (28.4%), SteakByrnes (7.1%), butchinette (4.3%), OwMySnauze (3.2%)"
portrayal of guilt,Portrayal of Guilt,/album/252583/portrayal-of-guilt-Portrayal-of-Guilt/,13,3.538461538,3.412786298,-0.126,2.312822238,2.31 - 4.27,993,661,"BallsToTheWall (38.0%), TheSpirit (26.3%), XingKing (9.6%), elliootsmeuth (7.1%), Taxt (5.9%)"
Alice Cooper,Paranormal,/album/254884/Alice-Cooper-Paranormal/,33,3.024242424,3.01633272,-0.008,2.312489049,2.31 - 3.66,994,1176,"DrGonzo1937 (14.5%), manosg (11.1%), ianblxdsoe (8.1%), TheNotrap (8.0%), TheSmashBro (6.5%)"
Hurray For The Riff Raff,The Navigator,/album/241944/Hurray-For-The-Riff-Raff-The-Navigator/,22,3.386363636,3.166520079,-0.22,2.31099334,2.31 - 3.91,995,899,"DoofusWainwright (14.0%), jtswope (11.3%), Wildcatforever (8.5%), Sniff (8.1%), theBoneyKing (7.6%)"
Dizzee Rascal,Raskit,/album/257716/Dizzee-Rascal-Raskit/,23,3.173913043,3.148426684,-0.025,2.310942658,2.31 - 3.88,996,1102,"Hep+Kat (27.7%), DoofusWainwright (23.4%), Mort. (15.8%), claygurnz (9.1%), minimus123 (4.1%)"
Foster the People,Sacred Hearts Club,/album/255068/Foster-the-People-Sacred-Hearts-Club/,69,3.02173913,2.799416993,-0.222,2.308150955,2.31 - 3.27,997,1177,"SowingSeason (12.7%), DoofusWainwright (8.3%), Divaman (7.5%), theNateman (5.4%), oisincoleman64 (4.3%)"
$uicideboy$,KILL YOURSELF Part XIII: The Atlantis Saga,/album/253957/%24uicideboy%24-KILL-YOUR%E2%80%8B%24%E2%80%8BELF-Part-XIII-The-Atlantis-Saga/,14,3.714285714,3.369706863,-0.345,2.308010727,2.31 - 4.21,998,315,"aaronrkc (37.6%), Prancer (28.8%), AaroN911 (14.2%), joshrhodes (9.8%), InAndOfItSelf (1.9%)"
The Movielife,Cities In Search Of A Heart,/album/253828/The-Movielife-Cities-In-Search-Of-A-Heart/,27,3.425925926,3.082443431,-0.343,2.307086939,2.31 - 3.78,999,849,"Willie (18.7%), Atari (17.6%), Divaman (13.2%), Dewinged (6.8%), larrytheslug (6.2%)"
The Atomic Bitchwax,Force Field,/album/270158/The-Atomic-Bitchwax-Force-Field/,10,3.85,3.550226884,-0.3,2.303514965,2.3 - 4.45,1000,102,"linguist2011 (50.2%), Sunnyvale (16.9%), Davil667 (14.8%), freakfromdabeat (7.2%), LedZep94 (7.1%)"
Princess Nokia,1992 Deluxe,/album/261775/Princess-Nokia-1992-Deluxe/,9,3.555555556,3.611011765,0.055,2.299729554,2.3 - 4.52,11,5,"jtswope (32.0%), elephantREVOLUTION (19.3%), Drubbi (17.1%), BlushfulHippocrene (14.2%), igloodude (7.1%)"
Impalers (TX),Cellar Dweller,/album/256457/Impalers-TX-Cellar-Dweller/,7,3.785714286,3.777525288,-0.008,2.29664728,2.3 - 4.69,1001,186,"East+Hastings (33.7%), aaronrkc (27.5%), pjorn (24.3%), WolfCocoon (7.5%), montekristoo99 (2.8%)"
The Brian Jonestown Massacre,Don't Get Lost,/album/245746/The-Brian-Jonestown-Massacre-Dont-Get-Lost/,19,3.326315789,3.2141874,-0.112,2.296600525,2.3 - 4,1002,968,"insomniac15 (30.2%), Dewinged (14.4%), alienobserver (10.9%), eddie95 (10.3%), Frivolous (7.0%)"
Craven Idol,The Shackles of Mammon,/album/245837/Craven-Idol-The-Shackles-of-Mammon/,15,3.566666667,3.322791006,-0.244,2.295619022,2.3 - 4.16,1003,609,"Willie (31.8%), linguist2011 (24.9%), L4titudes (14.3%), Thibs (7.0%), ZombieParty (4.7%)"
The Feelies,In Between,/album/246048/The-Feelies-In-Between/,17,3.205882353,3.262883224,0.057,2.295247455,2.3 - 4.07,1004,1076,"DoofusWainwright (14.8%), butcherboy (14.3%), Papa+Universe (13.3%), SandwichBubble (8.0%), Dewinged (7.2%)"
Call Super,Arpo,/album/267996/Call-Super-Arpo/,11,3.545454545,3.484015754,-0.061,2.293116609,2.29 - 4.37,1005,650,"Chortles (21.1%), Sniff (20.1%), Relinquished (15.2%), Haygoody (12.3%), Yotimi (12.2%)"
Exit Order,Seed Of Hysteria,/album/247290/Exit-Order-Seed-Of-Hysteria/,15,3.566666667,3.31907081,-0.248,2.291950036,2.29 - 4.15,1006,609,"jtswope (24.6%), Artuma (20.5%), WeepingBanana (15.0%), aaronrkc (11.1%), Buccaneer (8.3%)"
Deer Hollow,Deer Hollow,/album/248458/Deer-Hollow-Deer-Hollow/,8,3.6875,3.679051487,-0.008,2.291428152,2.29 - 4.6,1007,369,"Jacob818Hollows (28.7%), Sevengill (28.3%), hesperus (27.2%), Tasty (4.4%), KennyAlwaysDies (4.0%)"
The Flying Eyes,Burning the Season,/album/261485/The-Flying-Eyes-Burning-the-Season/,14,3.428571429,3.348938028,-0.08,2.287544511,2.29 - 4.2,1008,843,"insomniac15 (27.1%), jtswope (20.1%), AsleepInTheBack (14.4%), Antonius (10.0%), Dunpeal (8.5%)"
Sleaford Mods,English Tapas,/album/242954/Sleaford-Mods-English-Tapas/,40,2.9375,2.927234184,-0.01,2.286220705,2.29 - 3.53,12,16,"DoofusWainwright (6.6%), butcherboy (6.4%), Voivod (6.1%), Ryus (5.0%), TVC15 (4.8%)"
The Chasm,A Conscious Creation from the Isolated Domain - I,/album/263676/The-Chasm-A-Conscious-Creation-from-the-Isolated-Domain---I/,7,3.857142857,3.766213022,-0.091,2.285870861,2.29 - 4.68,1009,98,"Inveigh (26.4%), ShadowRemains (25.9%), Evok (20.9%), EvoHavok (13.1%), MetalSoliloquy (7.2%)"
Yaeji,Yaeji,/album/248735/Yaeji-Yaeji/,20,3.325,3.179895339,-0.145,2.284666655,2.28 - 3.95,1010,969,"Frippertronics (19.5%), Papa+Universe (14.9%), Ryus (12.3%), Relinquished (8.3%), brandontaylor (6.8%)"
Adventurer,Sacred Grove,/album/260068/Adventurer-Sacred-Grove/,16,3.625,3.280332906,-0.345,2.284443043,2.28 - 4.1,1011,492,"Calc (39.2%), tellah (11.0%), elephantREVOLUTION (10.8%), Danred97 (10.5%), iamSeraph (7.6%)"
Dead by April,Worlds Collide,/album/249044/Dead-by-April-Worlds-Collide/,41,3.024390244,2.909733811,-0.115,2.276449358,2.28 - 3.5,1012,1175,"Willie (15.6%), pizzamachine (14.7%), Papa+Universe (10.4%), Snide (9.2%), Sniff (6.2%)"
Varials,Pain Again,/album/259044/Varials-Pain-Again/,26,3.346153846,3.065206572,-0.281,2.275911114,2.28 - 3.77,1013,949,"Ebola (23.5%), drasticaction74 (16.9%), accompliceofmydeath (14.2%), JustinKing (10.4%), likeshad0ws (6.3%)"
Lost Salt Blood Purges,Black Lagoon: The Ritual of Reality,/album/234732/Lost-Salt-Blood-Purges-Black-Lagoon-The-Ritual-of-Reality/,21,3.166666667,3.150225738,-0.016,2.275758905,2.28 - 3.91,1014,1105,"Gameofmetal (12.9%), TVC15 (9.3%), Bloon (9.1%), Final+Origin (8.1%), AnimalsAsSummit (7.5%)"
Gary Numan,Savage (Songs from a Broken World),/album/256442/Gary-Numan-Savage-Songs-from-a-Broken-World/,16,3.5625,3.271514742,-0.291,2.275753047,2.28 - 4.1,1015,615,"Willie (27.3%), DoofusWainwright (22.7%), accompliceofmydeath (12.2%), DatsNotDaMetulz (12.1%), SirArthur6 (7.1%)"
Greeley Estates,Calling All The Hopeless,/album/255790/Greeley-Estates-Calling-All-The-Hopeless/,15,3.433333333,3.300776356,-0.133,2.273935165,2.27 - 4.14,1016,833,"Calc (37.4%), Comatorium. (29.2%), SteakByrnes (8.9%), iamSeraph (7.9%), Jips (5.1%)"
Vagabon,Infinite Worlds,/album/245162/Vagabon-Infinite-Worlds/,36,3.055555556,2.946272196,-0.109,2.271769441,2.27 - 3.57,1017,1165,"Papa+Universe (9.6%), jtswope (8.2%), wtferrothorn (7.9%), JohnnyOnTheSpot (7.8%), Wildcatforever (6.1%)"
Once Human,Evolution,/album/240255/Once-Human-Evolution/,14,3.621428571,3.331745771,-0.29,2.270648718,2.27 - 4.18,1018,501,"Willie (28.4%), Chamberbelain (14.8%), DatsNotDaMetulz (12.6%), Ebola (12.3%), Dmax28 (8.1%)"
Abhorrent Decimation,The Pardoner,/album/258053/Abhorrent-Decimation-The-Pardoner/,15,3.5,3.296264131,-0.204,2.269498969,2.27 - 4.14,1019,718,"linguist2011 (17.5%), Chamberbelain (12.9%), Anthracks (12.5%), Evok (10.2%), Dewinged (10.1%)"
The Drums,Abysmal Thoughts,/album/247079/The-Drums-Abysmal-Thoughts/,19,3.263157895,3.186169082,-0.077,2.268914637,2.27 - 3.97,1020,1022,"SandwichBubble (27.1%), Yotimi (15.3%), anobsoletevernacular (13.2%), commonist (5.5%), silverleaves (5.5%)"
As It Is,Okay,/album/242692/As-It-Is-Okay/,38,3.171052632,2.924124985,-0.247,2.267123769,2.27 - 3.54,1021,1104,"Willie (18.3%), Mort. (9.2%), ianblxdsoe (8.5%), brettgoespunk (6.2%), erizen826 (6.0%)"
Firespawn,The Reprobate,/album/245487/Firespawn-The-Reprobate/,14,3.535714286,3.328006706,-0.208,2.266979615,2.27 - 4.18,1022,665,"linguist2011 (32.2%), Anthracks (20.2%), brettgoespunk (14.2%), SoilPethSymmetry (8.7%), ZombieParty (6.4%)"
"Slaughter Beach, Dog",Birdie,/album/264914/Slaughter-Beach-Dog-Birdie/,15,3.366666667,3.292648472,-0.074,2.265946245,2.27 - 4.13,1023,927,"Conmaniac (26.6%), eloimayano (10.6%), NickelbackFTL (10.0%), SnakeDelilah (9.8%), IfYouRun (9.4%)"
Playboi Carti,Playboi Carti,/album/249940/Playboi-Carti-Playboi-Carti/,84,2.7,2.708364239,0.008,2.262739995,2.26 - 3.14,13,23,"Arcade (6.4%), Hurricanslash (5.1%), AggravatedYeti (4.9%), Ryus (4.5%), Mort. (4.5%)"
Diamanda Galas,All the Way,/album/242896/Diamanda-Galas-All-the-Way/,16,3.21875,3.257214553,0.038,2.261682928,2.26 - 4.08,1024,1064,"Papa+Universe (18.2%), Jasdevi087 (17.4%), Sabrutin (11.3%), Sniff (10.6%), RoundOnEndHiInMiddle (9.2%)"
Paul White,Accelerator,/album/244555/Paul-White-Accelerator-/,31,3.193548387,2.985593571,-0.208,2.26060817,2.26 - 3.65,1025,1084,"breakingthefragile (10.2%), danielcardoso (6.9%), Anthracks (6.2%), VaxXi (6.2%), TumsFestival (5.0%)"
Celldweller,Offworld,/album/255580/Celldweller-Offworld/,27,3.277777778,3.035178456,-0.243,2.26026095,2.26 - 3.74,1026,1008,"Willie (22.2%), Toondude10 (14.4%), BlackMalachite (7.5%), Aerisavion (7.2%), EvoHavok (6.7%)"
Epica,The Solace System,/album/255565/Epica-The-Solace-System/,18,3.205555556,3.195907455,-0.01,2.254873933,2.25 - 4,1027,1077,"Willie (24.0%), Divaman (17.1%), Toondude10 (15.5%), Mythodea (8.8%), bgillesp (7.5%)"
IT IT,Formal Odors,/album/255311/IT-IT-Formal-Odors/,9,3.555555556,3.564268768,0.009,2.254546383,2.25 - 4.49,1028,631,"DoofusWainwright (21.4%), Conmaniac (19.6%), jtswope (18.0%), VaxXi (11.8%), hesperus (10.2%)"
Emma Ruth Rundle / Jaye Jayle,The Time Between Us,/album/245813/Emma-Ruth-Rundle---Jaye-Jayle-The-Time-Between-Us/,13,3.192307692,3.352982411,0.161,2.254118224,2.25 - 4.22,1029,1086,"hesperus (16.5%), Sniff (16.3%), Dewinged (16.0%), Relinquished (13.0%), EvoHavok (10.5%)"
Winds of Plague,Blood of My Enemy,/album/262954/Winds-of-Plague-Blood-of-My-Enemy/,23,3.239130435,3.089807363,-0.149,2.252929223,2.25 - 3.83,1030,1046,"Willie (25.6%), pizzamachine (24.8%), accompliceofmydeath (8.5%), East+Hastings (8.5%), BlackMalachite (8.3%)"
Lapalux,The End Of Industry,/album/264872/Lapalux-The-End-Of-Industry/,6,3.833333333,3.845227373,0.012,2.250864884,2.25 - 4.77,1031,119,"DoofusWainwright (35.1%), Lord%28e%29Po%29%29%29ts (27.5%), TheSpaceMan (21.4%), elephantREVOLUTION (11.7%), matzo (2.4%)"
Gnod,Just Say No to the Psycho Right-Wing Capitalist...,/album/248854/Gnod-Just-Say-No-to-the-Psycho-Right-Wing-Capitalist.../,10,3.55,3.493098477,-0.057,2.248016399,2.25 - 4.41,1032,641,"Papa+Universe (21.6%), JamieTwort (20.5%), SandwichBubble (12.8%), Chortles (12.4%), eloimayano (9.0%)"
Autopsy,Puncturing the Grotesque,/album/266435/Autopsy-Puncturing-the-Grotesque/,10,3.8,3.492322743,-0.308,2.247266218,2.25 - 4.41,1033,166,"Jacquibim (43.5%), Sabrutin (24.4%), AngryChristian (9.6%), JayEnder (6.3%), slikphuk (6.2%)"
Ruby The Hatchet,Planetary Space Child,/album/260334/Ruby-The-Hatchet-Planetary-Space-Child/,12,3.541666667,3.387872815,-0.154,2.246511693,2.25 - 4.28,1034,655,"Willie (26.7%), linguist2011 (19.0%), manosg (17.9%), engleprunt (12.1%), PsychicChris (12.0%)"
Guided by Voices,How Do You Spell Heaven,/album/259135/Guided-by-Voices-How-Do-You-Spell-Heaven/,18,3.194444444,3.183776718,-0.011,2.242948455,2.24 - 3.99,1035,1083,"DoofusWainwright (13.3%), butcherboy (12.8%), Papa+Universe (12.6%), jtswope (10.8%), tom79 (10.7%)"
Eluvium,Shuffle Drones,/album/268348/Eluvium-Shuffle-Drones/,14,3.035714286,3.300177041,0.264,2.239731919,2.24 - 4.16,1037,1172,"JamieTwort (17.3%), Lord%28e%29Po%29%29%29ts (15.6%), zaruyache (12.2%), Sniff (10.1%), anatelier (10.0%)"
Saviour,Let Me Leave,/album/242321/Saviour-Let-Me-Leave/,19,3.431578947,3.156480474,-0.275,2.239686821,2.24 - 3.95,1038,841,"Willie (36.7%), Ebola (13.4%), SteakByrnes (6.7%), BlazinBlitzer (6.6%), JustinKing (6.2%)"
Future,HNDRXX,/album/245643/Future-HNDRXX/,104,2.863461538,2.637818566,-0.226,2.237023142,2.24 - 3.03,14,18,"robertsona (5.6%), Arcade (4.8%), Papa+Universe (4.3%), jtswope (4.3%), Hurricanslash (3.9%)"
Dagoba,Black Nova,/album/252600/Dagoba-Black-Nova/,13,3.561538462,3.331888827,-0.23,2.23353442,2.23 - 4.21,1039,622,"Willie (69.3%), sin69 (17.0%), neikos (4.5%), montekristoo99 (2.5%), em17ah (1.6%)"
Anomalie,Visions,/album/245748/Anomalie-Visions/,14,3.407142857,3.292491968,-0.115,2.232226501,2.23 - 4.15,1040,873,"Willie (24.8%), linguist2011 (19.6%), L4titudes (12.0%), ZippaThaRippa (9.9%), VisionsFromTheDarkSide (9.4%)"
Mallory Knox,Wired,/album/246857/Mallory-Knox-Wired/,35,3.042857143,2.915091656,-0.128,2.231796034,2.23 - 3.55,1041,1169,"jtswope (19.2%), Sinternet (15.8%), Dewinged (11.6%), NorwichScene (9.6%), JesperL (5.7%)"
Allie X,CollXtion II,/album/251048/Allie-X-CollXtion-II/,18,3.055555556,3.171362807,0.116,2.230764114,2.23 - 3.98,1042,1165,"VaxXi (24.0%), brandontaylor (17.0%), Asdfp277 (13.8%), FullOfSounds (13.4%), DadEsquire (10.3%)"
Vuur,In This Moment We Are Free - Cities,/album/245826/Vuur-In-This-Moment-We-Are-Free---Cities/,17,3.141176471,3.196678637,0.056,2.230097818,2.23 - 4.02,1043,1121,"Willie (31.3%), linguist2011 (24.0%), bgillesp (11.8%), EvoHavok (10.7%), Travelhead (6.1%)"
Memoriam,For the Fallen,/album/244775/Memoriam-For-the-Fallen/,17,3.252941176,3.195778555,-0.057,2.229216032,2.23 - 4.02,1044,1026,"Voivod (33.5%), Dunpeal (11.9%), Surtur (10.5%), Hellscythe (10.5%), ZombieParty (5.0%)"
Moon Duo,Occult Architecture Vol. 1,/album/238271/Moon-Duo-Occult-Architecture-Vol.-1/,24,3.095833333,3.048328239,-0.048,2.228732815,2.23 - 3.78,1045,1155,"Voivod (18.5%), Papa+Universe (17.1%), Sniff (9.7%), Dewinged (9.4%), theTourist (8.6%)"
Lich King,The Omniclasm,/album/247910/Lich-King-The-Omniclasm/,13,3.076923077,3.32577855,0.249,2.227583565,2.23 - 4.2,1046,1158,"PsychicChris (22.1%), Mister+Twister (18.1%), Ebola (17.4%), Minushuman24 (12.1%), TheMagicalBlender (10.4%)"
Camp Cope/Cayetana,Split,/album/242927/Camp-Cope-Cayetana-Split/,11,3.5,3.415250875,-0.085,2.226220987,2.23 - 4.32,1047,718,"Hep+Kat (29.4%), Mort. (17.4%), Dewinged (12.2%), BlushfulHippocrene (9.3%), SnakeDelilah (8.5%)"
No Trigger,Adult Braces,/album/258317/No-Trigger-Adult-Braces/,7,3.785714286,3.700003259,-0.086,2.223211407,2.22 - 4.64,1048,186,"eloimayano (49.3%), Kurai (19.8%), cheapcrayon (13.9%), Moses77 (9.8%), montekristoo99 (5.4%)"
Infinity Girl,"Somewhere Nice, Someday",/album/268583/Infinity-Girl-Somewhere-Nice-Someday/,8,3.625,3.607299737,-0.018,2.222801206,2.22 - 4.55,1049,492,"Conmaniac (32.3%), ShadowRemains (25.5%), Aberf (11.2%), JesperL (9.3%), McMegaMountain (8.9%)"
Shinichi Atobe,"From the Heart, It's a Start, a Work of Art",/album/253773/Shinichi-Atobe-From-the-Heart-Its-a-Start-a-Work-of-Art/,10,3.55,3.466007755,-0.084,2.221871816,2.22 - 4.39,1050,641,"jtswope (21.2%), Ryus (16.4%), Chortles (11.9%), Lucid (10.1%), L4titudes (9.8%)"
Surfer Blood,Snowdonia,/album/243478/Surfer-Blood-Snowdonia/,20,3.1,3.115471439,0.015,2.221215987,2.22 - 3.9,1051,1152,"Papa+Universe (14.9%), jtswope (13.4%), theNateman (10.5%), SandwichBubble (8.7%), ZackSh33 (8.6%)"
Oh Wonder,Ultralife,/album/258269/Oh-Wonder-Ultralife/,7,3.714285714,3.695685373,-0.019,2.21914934,2.22 - 4.64,1052,315,"SCREAM%21 (47.4%), LethalPaintball (17.6%), FullOfSounds (16.1%), pepster50 (7.1%), foreverburning (6.3%)"
Karen Gwyer,Rembo,/album/256821/Karen-Gwyer-Rembo/,11,3.318181818,3.407724469,0.09,2.218941664,2.22 - 4.32,1053,976,"Lord%28e%29Po%29%29%29ts (17.5%), scissorlocked (14.1%), Anthracks (12.8%), Chortles (11.7%), Sniff (11.6%)"
Gidge,LNLNN,/album/242255/Gidge-LNLNN/,9,3.611111111,3.526423338,-0.085,2.218212029,2.22 - 4.46,1054,522,"Archelirion (17.6%), jtswope (17.2%), Lord%28e%29Po%29%29%29ts (16.2%), Anthracks (11.1%), Sniff (10.2%)"
Quaint Blue,Two Houses,/album/249065/Quaint-Blue-Two-Houses/,12,3.583333333,3.358678316,-0.225,2.218142358,2.22 - 4.25,1055,578,"Papa+Universe (14.0%), Conmaniac (13.8%), verdant (10.3%), Bloon (9.9%), ianblxdsoe (9.5%)"
Claro Intelecto,Exhilarator,/album/269927/Claro-Intelecto-Exhilarator/,7,3.571428571,3.691066041,0.12,2.214806946,2.21 - 4.64,1056,599,"scissorlocked (24.8%), Chortles (21.3%), Relinquished (18.3%), Yotimi (13.1%), BlazinBlitzer (10.5%)"
Lil Peep and Lil Tracy,Castles II,/album/244279/Lil-Peep-and-Lil-Tracy-Castles-II/,17,3.352941176,3.179965906,-0.173,2.213741973,2.21 - 4,1057,944,"BallsToTheWall (38.2%), Ryus (13.4%), TVC15 (12.7%), aaronrkc (7.0%), rabidfish (6.2%)"
Guided by Voices,August by Cake,/album/243385/Guided-by-Voices-August-by-Cake/,13,3.346153846,3.310523134,-0.036,2.212749117,2.21 - 4.19,1058,949,"butcherboy (18.8%), Papa+Universe (17.4%), jtswope (16.8%), mryrtmrnfoxxxy (14.3%), SandwichBubble (10.5%)"
Push Over,Demo,/album/244213/Push-Over-Demo/,16,3.21875,3.206327113,-0.012,2.211835521,2.21 - 4.04,1059,1064,"TheSpirit (24.6%), Calc (17.1%), Mort. (12.2%), XingKing (8.2%), elephantREVOLUTION (5.8%)"
Dauwd,Theory of Colours,/album/256414/Dauwd-Theory-of-Colours/,11,3.545454545,3.394173237,-0.151,2.205856218,2.21 - 4.31,1060,650,"jtswope (16.2%), Jasdevi087 (16.1%), Lord%28e%29Po%29%29%29ts (15.5%), Evok (10.1%), Sniff (9.9%)"
Skepta,Vicious,/album/266923/Skepta-Vicious/,13,3.153846154,3.303107837,0.149,2.205550236,2.21 - 4.19,1061,1111,"random (28.9%), rufinthefury (19.0%), brandontaylor (13.9%), BradleyLayne (12.9%), tellah (10.6%)"
To Speak Of Wolves,Dead in the Shadow,/album/257636/To-Speak-Of-Wolves-Dead-in-the-Shadow/,15,3.4,3.230074296,-0.17,2.204742951,2.2 - 4.08,1062,882,"Willie (33.7%), Ebola (13.8%), hesperus (12.1%), BlazinBlitzer (8.2%), SatelliteYears (7.9%)"
Jidenna,The Chief,/album/238134/Jidenna-The-Chief/,24,3.145833333,3.016584391,-0.129,2.19756507,2.2 - 3.76,1063,1117,"Arcade (21.2%), Hurricanslash (17.8%), PistolPete (14.0%), larrytheslug (9.9%), NickelbackFTL (7.5%)"
Xandria,Theater of Dimensions,/album/238556/Xandria-Theater-of-Dimensions/,15,3.62,3.221715763,-0.398,2.196607555,2.2 - 4.08,1064,503,"Willie (28.9%), linguist2011 (20.7%), Xenorazr (19.6%), Dewinged (14.0%), TundraL5Z (5.5%)"
Ibeyi,Ash,/album/260736/Ibeyi-Ash/,20,3.2,3.088874642,-0.111,2.195170183,2.2 - 3.88,1065,1079,"jtswope (16.4%), Lord%28e%29Po%29%29%29ts (15.7%), Sniff (9.6%), Dewinged (9.0%), FreddieDelaney31 (8.4%)"
Dool,"Here Now, There Then",/album/245313/Dool-Here-Now-There-Then/,16,3.5,3.186794748,-0.313,2.192793359,2.19 - 4.03,1066,718,"Dewinged (51.0%), suppatime (20.4%), hansoloshotfirst (7.7%), Rodstar (4.7%), alsid (4.7%)"
The Voynich Code,Aqua Vitae,/album/252085/The-Voynich-Code-Aqua-Vitae/,15,3.433333333,3.21713003,-0.216,2.192148218,2.19 - 4.07,1067,833,"linguist2011 (51.6%), ZombieParty (11.0%), DatBeefPudding (8.8%), MetalSoliloquy (8.5%), Elynna (6.5%)"
The Lurking Fear,Out Of The Voiceless Grave,/album/247788/The-Lurking-Fear-Out-Of-The-Voiceless-Grave/,21,3.161904762,3.064134146,-0.098,2.191131989,2.19 - 3.84,1068,1108,"Willie (18.1%), Atari (16.3%), Bloon (8.8%), Relinquished (6.7%), Ebola (6.6%)"
Father Befouled,Desolate Gods,/album/255474/Father-Befouled-Desolate-Gods/,16,3.34375,3.179389587,-0.164,2.185587146,2.19 - 4.02,1069,953,"TheSpirit (14.9%), Willie (13.2%), Hawks (12.5%), linguist2011 (10.5%), Jacquibim (9.7%)"
Audn,Farvegir Fyrndar,/album/262108/Audn-Farvegir-Fyrndar/,14,3.192857143,3.241651725,0.049,2.182779438,2.18 - 4.12,1070,1085,"Atari (17.6%), Willie (17.3%), Papa+Universe (14.6%), linguist2011 (12.8%), zaruyache (9.6%)"
The Pains of Being Pure at Heart,The Echo of Pleasure,/album/256977/The-Pains-of-Being-Pure-at-Heart-The-Echo-of-Pleasure/,24,3.145833333,2.991871982,-0.154,2.173381012,2.17 - 3.73,1071,1117,"Willie (17.2%), Papa+Universe (13.1%), Arcade (12.0%), verdant (8.9%), erizen826 (6.5%)"
The Mountain Goats,Marsh Witch Visions,/album/264304/The-Mountain-Goats-Marsh-Witch-Visions/,11,3.545454545,3.359177691,-0.186,2.172187161,2.17 - 4.28,1072,650,"Atari (41.0%), Sniff (17.1%), TumsFestival (15.1%), bgillesp (10.9%), Satellite (9.3%)"
Chihei Hatakeyama,Void XI,/album/247859/Chihei-Hatakeyama-Void-XI/,9,3.611111111,3.475979191,-0.135,2.170121393,2.17 - 4.43,1073,522,"insomniac15 (29.6%), Snide (20.8%), zaruyache (15.9%), Sniff (14.6%), Asdfp277 (10.3%)"
Dzo-nga,Upon the Shimmered Bough,/album/242424/Dzo-nga-Upon-the-Shimmered-Bough/,17,3.176470588,3.132041321,-0.044,2.167040755,2.17 - 3.96,1074,1100,"BallsToTheWall (21.0%), CaptainDooRight (11.4%), Gameofmetal (10.3%), Papa+Universe (9.4%), Snide (8.0%)"
CunninLynguists,The Rose EP,/album/248677/CunninLynguists-The-Rose-EP/,19,3.368421053,3.0805599,-0.288,2.1654464,2.17 - 3.89,1075,924,"Sinternet (19.5%), scissorlocked (19.3%), Sniff (16.5%), BradleyLayne (12.7%), frigyourgenre (6.6%)"
The Classic Crime,How To Be Human,/album/246758/The-Classic-Crime-How-To-Be-Human/,26,3.538461538,2.952630476,-0.586,2.16520918,2.17 - 3.68,1076,661,"jtswope (19.1%), Ignimbrite (15.9%), ProjectFreak (10.2%), Crawl (9.3%), AmericnZero02 (8.3%)"
$uicideboy$,KILL YOURSELF Part XI: The Kingdom Come Saga,/album/253888/%24uicideboy%24-KILL-YOUR%E2%80%8B%24%E2%80%8BELF-Part-XI-The-Kingdom-Come-Saga/,14,3.75,3.217735307,-0.532,2.159640378,2.16 - 4.1,1077,244,"aaronrkc (37.2%), Prancer (28.6%), AaroN911 (14.0%), joshrhodes (9.5%), omelettedufromage (2.0%)"
Electric Guest,Plural,/album/242705/Electric-Guest-Plural/,17,3.382352941,3.122682503,-0.26,2.15795522,2.16 - 3.96,1078,908,"klap (40.6%), East+Hastings (14.6%), cavalrycaptain (9.4%), ellagos (8.1%), chupacabraisreal (5.4%)"
ASC,Zone Of Avoidance,/album/245659/ASC-Zone-Of-Avoidance/,11,3.318181818,3.344206099,0.026,2.157837111,2.16 - 4.27,1079,976,"Storm+In+A+Teacup (22.7%), Archelirion (19.2%), Sniff (11.0%), Dewinged (9.9%), Relinquished (9.6%)"
